epoch,train_loss,valid_loss,ctc_accuracy,time
0,1463.243164,1452.351807,0.620568,00:33
1,1359.600342,1286.860107,0.598421,00:33
2,1275.228149,1224.153076,0.582993,00:33
3,1196.493530,1295.357666,0.589449,00:34
4,1120.927612,1310.330200,0.589607,00:33
5,1061.054565,1409.774170,0.678531,00:33
6,1008.252380,1123.855835,0.620796,00:33
7,950.265564,1212.600952,0.637957,00:33
8,888.442993,1202.024048,0.618202,00:33
9,824.211060,1176.034302,0.623543,00:33
10,778.219604,1161.822632,0.636685,00:33
11,734.066528,1132.302124,0.649050,00:33
12,685.023438,1114.291748,0.677673,00:33
13,630.580750,1157.145630,0.674569,00:36
14,594.768250,1169.261719,0.676801,00:33
15,566.309326,1107.463501,0.682082,00:33
16,526.125793,1070.279541,0.708109,00:33
17,487.442932,1118.792847,0.685844,00:33
18,458.834595,1134.483765,0.693755,00:33
19,430.992310,1061.178345,0.699572,00:33
20,401.177063,1110.296143,0.684771,00:33
21,385.022003,1082.605347,0.692277,00:33
22,366.430328,1108.391235,0.703387,00:33
23,351.963013,1090.815186,0.700626,00:34
24,344.237640,1073.150024,0.726742,00:35
25,346.799042,1066.720337,0.719699,00:35
26,356.558594,1121.492554,0.708771,00:35
27,340.665833,1039.519897,0.726749,00:35
28,311.211090,1040.577026,0.722825,00:35
